route_id  ,service_id ,trip_id ,trip_headsign  ,direction_id ,block_id ,shape_id ,wheelchair_accessible ,bikes_allowed
"ACTO001" ,"WD"       ,"157"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"8"     ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"161"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"28"    ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"173"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"40"    ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"185"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"55"    ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"194"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"67"    ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"200"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"73"    ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"206"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"79"    ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"212"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"85"    ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"218"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"91"    ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"228"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"99"    ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"240"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"109"   ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"250"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"119"   ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"260"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"129"   ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"273"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"136"   ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"283"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"140"   ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"287"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"144"   ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"291"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"148"   ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"295"   ,"Alinga St"    ,"1"          ,"4"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"152"   ,"Gungahlin Pl" ,"0"          ,"4"      ,"1004"   ,"1"                   ,"1"
"X1"      ,"WD"       ,"303"   ,"Sandford St"  ,"1"          ,"4"      ,"1008"   ,"1"                   ,"1"
"X1"      ,"WD"       ,"5"     ,"Gungahlin Pl" ,"0"          ,"8A"     ,"1002"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"158"   ,"Alinga St"    ,"1"          ,"8A"     ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"13"    ,"Gungahlin Pl" ,"0"          ,"8A"     ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"164"   ,"Alinga St"    ,"1"          ,"8A"     ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"31"    ,"Gungahlin Pl" ,"0"          ,"8A"     ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"176"   ,"Alinga St"    ,"1"          ,"8A"     ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"43"    ,"Gungahlin Pl" ,"0"          ,"8A"     ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"188"   ,"Alinga St"    ,"1"          ,"8A"     ,"1003"   ,"1"                   ,"1"
"X2"      ,"WD"       ,"59"    ,"EPIC"         ,"0"          ,"8A"     ,"1012"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"6"     ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"159"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"18"    ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"167"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"34"    ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"179"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"46"    ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"191"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"64"    ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"197"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"70"    ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"203"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"76"    ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"209"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"82"    ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"215"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"88"    ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"221"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"94"    ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"235"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"104"   ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"245"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"114"   ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"255"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"124"   ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"265"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"134"   ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"281"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"138"   ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"285"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"142"   ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"289"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"146"   ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"293"   ,"Alinga St"    ,"1"          ,"1"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"150"   ,"Gungahlin Pl" ,"0"          ,"1"      ,"1004"   ,"1"                   ,"1"
"X1"      ,"WD"       ,"299"   ,"Sandford St"  ,"1"          ,"1"      ,"1008"   ,"1"                   ,"1"
"X2"      ,"WD"       ,"156"   ,"Alinga St"    ,"1"          ,"9A"     ,"1011"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"7"     ,"Gungahlin Pl" ,"0"          ,"9A"     ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"160"   ,"Alinga St"    ,"1"          ,"9A"     ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"23"    ,"Gungahlin Pl" ,"0"          ,"9A"     ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"170"   ,"Alinga St"    ,"1"          ,"9A"     ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"37"    ,"Gungahlin Pl" ,"0"          ,"9A"     ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"182"   ,"Alinga St"    ,"1"          ,"9A"     ,"1003"   ,"1"                   ,"1"
"X2"      ,"WD"       ,"50"    ,"EPIC"         ,"0"          ,"9A"     ,"1012"   ,"1"                   ,"1"
"X1"      ,"WD"       ,"10"    ,"Gungahlin Pl" ,"0"          ,"10A"    ,"1002"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"162"   ,"Alinga St"    ,"1"          ,"10A"    ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"29"    ,"Gungahlin Pl" ,"0"          ,"10A"    ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"174"   ,"Alinga St"    ,"1"          ,"10A"    ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"41"    ,"Gungahlin Pl" ,"0"          ,"10A"    ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"186"   ,"Alinga St"    ,"1"          ,"10A"    ,"1003"   ,"1"                   ,"1"
"X2"      ,"WD"       ,"56"    ,"EPIC"         ,"0"          ,"10A"    ,"1012"   ,"1"                   ,"1"
"X1"      ,"WD"       ,"12"    ,"Gungahlin Pl" ,"0"          ,"5"      ,"1002"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"163"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"30"    ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"175"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"42"    ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"187"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"58"    ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"195"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"68"    ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"201"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"74"    ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"207"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"80"    ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"213"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"86"    ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"219"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"92"    ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"231"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"101"   ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"242"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"111"   ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"252"   ,"Alinga St"    ,"1"          ,"5"      ,"1003"   ,"1"                   ,"1"
"ACTO001" ,"WD"       ,"121"   ,"Gungahlin Pl" ,"0"          ,"5"      ,"1004"   ,"1"                   ,"1"
